[ 2025-07-24 11:28:33,683 ] 20 root - INFO - Initiate the data ingestion
[ 2025-07-24 11:28:38,408 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-07-24 11:28:38,408 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-24 11:28:38,408 ] 73 root - INFO - Exporting train and test file path.
[ 2025-07-24 11:28:38,451 ] 82 root - INFO - Exported train and test file path.
[ 2025-07-24 11:28:38,451 ] 22 root - INFO - Data Initiation Completed
[ 2025-07-24 11:28:38,472 ] 26 root - INFO - Initiate the data Validation
[ 2025-07-24 11:28:38,516 ] 32 root - INFO - Required number of columns:2
[ 2025-07-24 11:28:38,516 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-24 11:28:38,516 ] 32 root - INFO - Required number of columns:2
[ 2025-07-24 11:28:38,516 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-24 11:28:38,707 ] 28 root - INFO - Data Validation Completed
[ 2025-07-24 11:28:38,707 ] 31 root - INFO - data Transformation started
[ 2025-07-24 11:28:38,707 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-24 11:28:38,707 ] 65 root - INFO - Starting data transformation
[ 2025-07-24 11:28:38,726 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-24 11:28:38,727 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-24 11:28:38,735 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-24 11:28:38,763 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-24 11:28:38,763 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-24 11:28:38,765 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-24 11:28:38,766 ] 35 root - INFO - data Transformation completed
[ 2025-07-24 11:28:38,766 ] 37 root - INFO - Model Training sstared
