[ 2025-07-24 11:03:28,920 ] 20 root - INFO - Initiate the data ingestion
[ 2025-07-24 11:03:31,670 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-07-24 11:03:31,670 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-24 11:03:31,671 ] 73 root - INFO - Exporting train and test file path.
[ 2025-07-24 11:03:31,711 ] 82 root - INFO - Exported train and test file path.
[ 2025-07-24 11:03:31,712 ] 22 root - INFO - Data Initiation Completed
[ 2025-07-24 11:03:31,716 ] 26 root - INFO - Initiate the data Validation
[ 2025-07-24 11:03:31,763 ] 32 root - INFO - Required number of columns:2
[ 2025-07-24 11:03:31,763 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-24 11:03:31,763 ] 32 root - INFO - Required number of columns:2
[ 2025-07-24 11:03:31,763 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-24 11:03:31,882 ] 28 root - INFO - Data Validation Completed
[ 2025-07-24 11:03:31,882 ] 31 root - INFO - data Transformation started
[ 2025-07-24 11:03:31,882 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-24 11:03:31,882 ] 65 root - INFO - Starting data transformation
[ 2025-07-24 11:03:31,900 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-24 11:03:31,900 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-24 11:03:31,908 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-24 11:03:31,910 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-24 11:03:31,910 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-24 11:03:31,911 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-24 11:03:31,912 ] 35 root - INFO - data Transformation completed
[ 2025-07-24 11:03:31,912 ] 37 root - INFO - Model Training sstared
