[ 2025-07-24 11:17:38,371 ] 20 root - INFO - Initiate the data ingestion
[ 2025-07-24 11:17:43,014 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-07-24 11:17:43,015 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-24 11:17:43,116 ] 73 root - INFO - Exporting train and test file path.
[ 2025-07-24 11:17:43,159 ] 82 root - INFO - Exported train and test file path.
[ 2025-07-24 11:17:43,159 ] 22 root - INFO - Data Initiation Completed
[ 2025-07-24 11:17:43,164 ] 26 root - INFO - Initiate the data Validation
[ 2025-07-24 11:17:43,210 ] 32 root - INFO - Required number of columns:2
[ 2025-07-24 11:17:43,210 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-24 11:17:43,211 ] 32 root - INFO - Required number of columns:2
[ 2025-07-24 11:17:43,211 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-24 11:17:43,322 ] 28 root - INFO - Data Validation Completed
[ 2025-07-24 11:17:43,323 ] 31 root - INFO - data Transformation started
[ 2025-07-24 11:17:43,323 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-24 11:17:43,323 ] 65 root - INFO - Starting data transformation
[ 2025-07-24 11:17:43,341 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-24 11:17:43,341 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-24 11:17:43,360 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-24 11:17:43,362 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-24 11:17:43,362 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-24 11:17:43,364 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-24 11:17:43,365 ] 35 root - INFO - data Transformation completed
[ 2025-07-24 11:17:43,365 ] 37 root - INFO - Model Training sstared
[ 2025-07-24 11:20:43,427 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-24 11:20:43,428 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-24 11:20:43,428 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-24 11:20:43,462 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-24 11:20:43,462 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_24_2025_11_17_35\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915693245302184, precision_score=0.9890577507598785, recall_score=0.9940936863543788), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9762575452716298, precision_score=0.9798061389337641, recall_score=0.9727345629510826))
[ 2025-07-24 11:20:43,465 ] 42 root - INFO - Model Training artifact created
