[ 2025-07-24 11:33:57,402 ] 20 root - INFO - Initiate the data ingestion
[ 2025-07-24 11:34:02,267 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-07-24 11:34:02,268 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-24 11:34:02,268 ] 73 root - INFO - Exporting train and test file path.
[ 2025-07-24 11:34:02,307 ] 82 root - INFO - Exported train and test file path.
[ 2025-07-24 11:34:02,307 ] 22 root - INFO - Data Initiation Completed
[ 2025-07-24 11:34:02,312 ] 26 root - INFO - Initiate the data Validation
[ 2025-07-24 11:34:02,355 ] 32 root - INFO - Required number of columns:2
[ 2025-07-24 11:34:02,355 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-24 11:34:02,356 ] 32 root - INFO - Required number of columns:2
[ 2025-07-24 11:34:02,356 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-24 11:34:02,486 ] 28 root - INFO - Data Validation Completed
[ 2025-07-24 11:34:02,486 ] 31 root - INFO - data Transformation started
[ 2025-07-24 11:34:02,486 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-24 11:34:02,486 ] 65 root - INFO - Starting data transformation
[ 2025-07-24 11:34:02,502 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-24 11:34:02,502 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-24 11:34:02,510 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-24 11:34:02,512 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-24 11:34:02,512 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-24 11:34:02,513 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-24 11:34:02,514 ] 35 root - INFO - data Transformation completed
[ 2025-07-24 11:34:02,514 ] 37 root - INFO - Model Training sstared
